Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1e071df2e507135c0741f740ee0bfe505cb5d581155553517ea3ae7b90ef7a32,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.103346,51.545541,On or near Woodbridge Road,E01000066,Barking and Dagenham 011A,Investigation complete; no suspect identified
81f8826fafee099d8c459dbf09d011797c7750f2fcca2ac149552ddff9e5785f,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.103271,51.549544,On or near Capel Gardens,E01000067,Barking and Dagenham 011B,Investigation complete; no suspect identified
9515175fc07bcadf41c273f63be1d547a33eb960b860176645a2439630896025,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.098928,51.54419,On or near Stratton Drive,E01000069,Barking and Dagenham 011C,Investigation complete; no suspect identified
13a9e55fd1fa665341f903949b8083361a23c09a45612b69d12e74253e9c7e06,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.094946,51.546042,On or near ,E01000070,Barking and Dagenham 011D,Investigation complete; no suspect identified
45c9cb7c6af483e05fcf743f22056607213566631850bf674f11210f8c817aa1,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.096939,51.540143,On or near Odell Close,E01000071,Barking and Dagenham 011E,Investigation complete; no suspect identified
e1fd717d340ffc47beb92cefc4f5c1061170d61bcc9343db1dd23f13a68e0bb4,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.127913,51.539468,On or near ,E01000057,Barking and Dagenham 012A,Investigation complete; no suspect identified
f3ca40ad3aabd680d4e717f730633833bc66de68c32e8f15948273f2c02204e8,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.111647,51.548705,On or near ,E01000073,Barking and Dagenham 012B,Investigation complete; no suspect identified
e40b175678852ce9d3feb3b2602e840aafb85f70c0a525eaabf0f748985b7f50,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.11912,51.545436,On or near Easebourne Road,E01000074,Barking and Dagenham 012C,Investigation complete; no suspect identified
278963cacbde0b9114e5c84dc01ec08ed348418a8656a5f4822430f6408d1aec,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.123016,51.542389,On or near Waterbeach Road,E01000075,Barking and Dagenham 012D,Investigation complete; no suspect identified
0e80920bb1ed6d4e7a9a928c160ba7ffe42a7087add9371d433d02d682c7d095,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.118813,51.541638,On or near Rowney Gardens,E01000076,Barking and Dagenham 012E,Investigation complete; no suspect identified
2e32f3ee7c1a2f7641414adb6caefabbcfb4c77b9a34c811f0f10a9c602813bb,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.148526,51.542042,On or near ,E01000013,Barking and Dagenham 013A,Investigation complete; no suspect identified
1461dbce42368e35f122e6a7a345ff9dc40999265d8dd39b4c3853d56f76bfb4,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.14453,51.546306,On or near Barnmead Road,E01000014,Barking and Dagenham 013B,Investigation complete; no suspect identified
12c0a1655c724346deea16a0c4657ea0700f9469a998d496faaf3b45914ec299,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.144013,51.535299,On or near Rowdowns Road,E01000059,Barking and Dagenham 013C,Investigation complete; no suspect identified
41e2a23bee6bde1d67ae5c217c59baef4426c88a8fc68899f5f427439f523ff8,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.147969,51.541234,On or near HEATHWAY,E01000084,Barking and Dagenham 013D,Investigation complete; no suspect identified
0da383e552b2477b7ff5b9cb57ef88fdc3be42df6116e6e8ff7222270a6ddae5,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.151097,51.535394,On or near Morland Road,E01000085,Barking and Dagenham 013E,Investigation complete; no suspect identified
f867cf8da4b36d0b2812342ee3874c8880cb6ec1ad791a2431f480555d144b6f,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.144331,51.537164,On or near Downing Road,E01000086,Barking and Dagenham 013F,Investigation complete; no suspect identified
110f3ddce17fe82a5af17b45626707a0d53d1751cc74514d7a3a7c057f820c66,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.160546,51.538512,On or near Siviter Way,E01000103,Barking and Dagenham 014A,Investigation complete; no suspect identified
c8a7721b9ecb634a3e5e3c78a12cb1d1cc34ff869cd9c90565b2129b4df3342b,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.171339,51.538052,On or near Beamway,E01000104,Barking and Dagenham 014B,Investigation complete; no suspect identified
e2b94915158f312b762484f336a10b2a6eaa53745e9c716f3959dfc87b86c3cb,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.148737,51.54085,On or near ,E01000105,Barking and Dagenham 014C,Investigation complete; no suspect identified
30e308ca0f1f37e112469942ffe28111f739008eb92eab06d4c8861259704275,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.157908,51.539145,On or near ,E01000106,Barking and Dagenham 014D,Investigation complete; no suspect identified
69ef79276554820e12b15363ea65732bd03142b368b9f049380e036e283bf83d,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.08057,51.54011,On or near ,E01000007,Barking and Dagenham 015A,Investigation complete; no suspect identified
411f2c7c13615510de8e31eb7189d9c28d0489c08e409faa6e2be83e05628da2,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.070595,51.542103,On or near ,E01000008,Barking and Dagenham 015B,Investigation complete; no suspect identified
32b7b03ccda70ad53d1f7f1e62b4416b17294f1d001ae2eaf971a436d20d4aef,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.07683,51.538108,On or near ,E01000010,Barking and Dagenham 015C,Investigation complete; no suspect identified
bfdf5a007f9d180727ee77183c5748dd64b24f5d3f239db7f67d764bcf9e0c6a,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.0765,51.542251,On or near Loftus Road,E01000012,Barking and Dagenham 015D,Investigation complete; no suspect identified
6045304c9b60a9d8cc202b9fac368ee82ad027fa8f1a82d0a75858aeb54d92b4,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.089436,51.540043,On or near Wilmington Gardens,E01000006,Barking and Dagenham 016A,Investigation complete; no suspect identified
aa793a4424550e3cdba7f317187d1eb4725b5b4ebdaae053e47d857fd1700322,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.083423,51.538801,On or near Thorpe Road,E01000009,Barking and Dagenham 016B,Investigation complete; no suspect identified
